id,age,gender,income,city,education,marital_status,num_children,owns_car,credit_score,job_type,years_with_employer,has_pet,spending_score,target
1,34,M,45000,Paris,Master,Single,0,Yes,720,Engineer,5,No,60,1
2,28,F,38000,Lyon,Bachelor,Married,1,No,680,Teacher,3,Yes,55,0
3,45,M,52000,Marseille,PhD,Married,2,Yes,750,Manager,10,Yes,70,1
4,23,F,32000,Toulouse,Bachelor,Single,0,No,650,Designer,1,No,40,0
5,39,F,60000,Nice,Master,Divorced,3,Yes,790,Doctor,8,Yes,85,1
6,31,M,41000,Bordeaux,Bachelor,Single,0,No,670,Developer,4,No,50,0
7,52,F,70000,Paris,PhD,Married,2,Yes,810,Director,15,Yes,90,1
8,27,M,36000,Lille,Master,Single,0,No,660,Analyst,2,No,45,0
9,41,F,48000,Strasbourg,Master,Married,1,Yes,730,Consultant,7,Yes,65,1
10,36,M,55000,Nantes,Bachelor,Married,2,Yes,740,Engineer,6,No,75,1
11,29,F,39000,Paris,Master,Single,0,No,690,Teacher,3,Yes,52,0
12,47,M,62000,Lyon,PhD,Married,3,Yes,770,Manager,12,Yes,80,1
13,33,F,43000,Marseille,Bachelor,Divorced,1,No,700,Designer,5,No,58,0
14,38,M,51000,Toulouse,Master,Married,2,Yes,730,Developer,7,Yes,68,1
15,26,F,35000,Nice,Bachelor,Single,0,No,660,Analyst,2,No,47,0
16,44,M,57000,Bordeaux,PhD,Married,2,Yes,760,Consultant,9,Yes,73,1
17,30,F,40000,Paris,Master,Single,0,No,680,Engineer,4,No,54,0
18,53,M,71000,Lyon,PhD,Married,3,Yes,820,Director,16,Yes,92,1
19,25,F,34000,Marseille,Bachelor,Single,0,No,650,Teacher,1,No,42,0
20,40,M,49000,Toulouse,Master,Married,2,Yes,740,Manager,8,Yes,67,1
21,35,F,46000,Nice,Master,Divorced,1,No,720,Designer,6,No,62,0
22,42,M,53000,Bordeaux,PhD,Married,2,Yes,750,Developer,10,Yes,76,1
23,32,F,42000,Paris,Bachelor,Single,0,No,690,Analyst,3,No,53,0
24,48,M,63000,Lyon,PhD,Married,3,Yes,780,Consultant,13,Yes,83,1
25,37,F,47000,Marseille,Master,Married,2,Yes,730,Engineer,7,Yes,69,1
26,29,M,39000,Toulouse,Bachelor,Single,0,No,670,Teacher,2,No,49,0
27,46,F,61000,Nice,PhD,Married,2,Yes,770,Manager,11,Yes,78,1
28,34,M,44000,Bordeaux,Master,Divorced,1,No,710,Developer,5,No,61,0
29,39,F,50000,Paris,Master,Married,2,Yes,750,Director,8,Yes,74,1
30,27,M,37000,Lyon,Bachelor,Single,0,No,660,Analyst,2,No,46,0
